State,OverallHomeless,OverallHomelessIndividuals,OverallHomelessFamilyHouseholds,OverallHomelessVeterans,Year
AK,1863,1118,244,300,2010
AL,6046,4553,551,1089,2010
AR,2762,2120,222,362,2010
AS,NA,NA,NA,NA,2010
AZ,13711,9226,1372,2230,2010
CA,123480,96940,8810,17604,2010
CO,15482,7574,2234,1316,2010
CT,4316,2993,447,483,2010
DC,6539,4016,800,579,2010
DE,982,681,111,74,2010
FL,57551,35738,8017,7794,2010
GA,19836,14377,1812,2766,2010
GU,1635,534,172,27,2010
HI,5834,2889,764,419,2010
IA,3014,1528,481,221,2010
ID,2346,1445,287,239,2010
IL,14395,7568,2229,1133,2010
IN,6452,3588,913,767,2010
KS,2024,1318,212,711,2010
KY,6623,4125,805,619,2010
LA,12482,10101,763,2015,2010
MA,16646,6403,3526,1597,2010
MD,10845,5999,1603,910,2010
ME,2379,1061,447,108,2010
MI,13058,7365,1880,964,2010
MN,7869,3605,1409,644,2010
MO,8122,4427,1196,759,2010
MP,NA,NA,NA,NA,2010
MS,2743,1924,264,339,2010
MT,1615,890,238,262,2010
NC,12191,8361,1293,1084,2010
ND,799,539,82,119,2010
NE,3877,2423,482,305,2010
NH,1574,943,236,173,2010
NJ,13737,6520,2572,567,2010
NM,3475,2343,304,441,2010
NV,11205,9565,435,1843,2010
NY,65606,26293,12332,5857,2010
OH,12569,7719,1595,1527,2010
OK,5229,3317,665,474,2010
OR,19492,10731,2811,1285,2010
PA,14516,7191,2393,1441,2010
PR,4149,3721,149,106,2010
RI,1282,704,216,91,2010
SC,4473,3194,474,687,2010
SD,731,445,87,135,2010
TN,10276,7623,956,1679,2010
TX,35121,24078,3987,5133,2010
UT,3284,1926,404,342,2010
VA,9080,5338,1181,995,2010
VI,487,468,9,42,2010
VT,1220,797,167,117,2010
WA,22878,11901,3388,2043,2010
WI,6333,3040,1080,609,2010
WV,2264,1527,245,576,2010
WY,579,327,90,85,2010
