"","year","state","overall","emergency_shelter","transitional_housing","unsheltered","pop"
"1","2020","AK",1949,1347,378,224,731158
"2","2020","AL",3351,1421,603,1299,4921532
"3","2020","AR",2366,912,181,1273,3030522
"4","2020","AZ",10979,3483,1914,5521,7421401
"5","2020","CA",161548,35966,11707,113660,39368078
"6","2020","CO",9846,4553,2330,2913,5807719
"7","2020","CT",2905,2141,430,325,3557006
"8","2020","DE",1165,739,276,150,986809
"9","2020","FL",27487,9899,4739,12672,21733312
"10","2020","GA",10234,3736,2342,4156,10710017
"11","2020","HI",6458,1696,1067,3650,1407006
"12","2020","IA",2647,1606,685,333,3163561
"13","2020","ID",2315,992,280,1043,1826913
"14","2020","IL",10431,5846,2239,2278,12587530
"15","2020","IN",5625,3496,1095,966,6754953
"16","2020","KS",2449,1307,660,482,2913805
"17","2020","KY",4011,2589,494,928,4477251
"18","2020","LA",3173,1355,591,1153,4645318
"19","2020","MA",17975,14823,1798,1294,6893574
"20","2020","MD",6360,3731,1346,1236,6055802
"21","2020","ME",2097,1000,941,141,1350141
"22","2020","MI",8638,5743,1791,1039,9966555
"23","2020","MN",7940,4036,1955,1949,5657342
"24","2020","MO",6527,3466,1389,1648,6151548
"25","2020","MS",1107,332,249,526,2966786
"26","2020","MT",1545,767,318,460,1080577
"27","2020","NC",9280,5112,1610,2558,10600823
"28","2020","ND",541,369,119,34,765309
"29","2020","NE",2404,1658,574,143,1937552
"30","2020","NH",1675,929,395,348,1366275
"31","2020","NJ",9662,6030,1841,1781,8882371
"32","2020","NM",3333,1703,371,1259,2106319
"33","2020","NV",6900,1873,811,4209,3138259
"34","2020","NY",91271,81342,5297,4557,19336776
"35","2020","OH",10655,7276,1454,1844,11693217
"36","2020","OK",3932,2107,555,1244,3980783
"37","2020","OR",14655,3874,1898,8877,4241507
"38","2020","PA",13375,8244,2958,1857,12783254
"39","2020","RI",1104,742,254,108,1057125
"40","2020","SC",4287,1827,741,1704,5218040
"41","2020","SD",1058,751,61,246,892717
"42","2020","TN",7256,3241,1226,2784,6886834
"43","2020","TX",27229,10727,3141,13212,29360759
"44","2020","UT",3131,2034,393,704,3249879
"45","2020","VA",5957,4269,668,968,8590563
"46","2020","VT",1110,896,100,114,623347
"47","2020","WA",22923,8533,3495,10814,7693612
"48","2020","WI",4515,3247,893,324,5832655
"49","2020","WV",1341,930,128,277,1784787
"50","2020","WY",612,349,140,123,582328
"51","2020","Total",580466,279916,72484,226080,329484123
"52","2019","AK",1907,1218,416,273,733603
"53","2019","AL",3261,1503,538,1191,4907965
"54","2019","AR",2717,950,352,1415,3020985
"55","2019","AZ",10007,3437,1978,4532,7291843
"56","2019","CA",151278,30723,11853,108432,39437610
"57","2019","CO",9619,4818,2578,2188,5758486
"58","2019","CT",3033,2116,456,456,3566022
"59","2019","DE",921,606,220,95,976668
"60","2019","FL",28328,10465,5213,12476,21492056
"61","2019","GA",10443,4463,2100,3880,10628020
"62","2019","HI",6412,1587,1185,3640,1415615
"63","2019","IA",2315,1374,729,188,3159596
"64","2019","ID",2315,999,331,985,1789060
"65","2019","IL",10199,5892,2347,1889,12667017
"66","2019","IN",5471,3598,1188,642,6731010
"67","2019","KS",2381,1377,529,475,2912635
"68","2019","KY",4079,2778,522,779,4472345
"69","2019","LA",2941,1300,629,974,4658285
"70","2019","MA",18471,15631,1942,829,6894883
"71","2019","MD",6561,3643,1503,1348,6054954
"72","2019","ME",2106,1105,891,95,1345770
"73","2019","MI",8575,6040,1810,662,9984795
"74","2019","MN",7977,4277,2031,1653,5640053
"75","2019","MO",6179,3847,1318,976,6140475
"76","2019","MS",1184,415,283,486,2978227
"77","2019","MT",1357,755,257,345,1070123
"78","2019","NC",9314,5495,1551,2268,10501384
"79","2019","ND",557,391,124,12,763724
"80","2019","NE",2365,1534,698,110,1932571
"81","2019","NH",1396,822,420,149,1360783
"82","2019","NJ",8862,5534,1827,1482,8891258
"83","2019","NM",3241,1616,366,1259,2099634
"84","2019","NV",7169,2408,935,3807,3090771
"85","2019","NY",92091,82967,4978,4047,19463131
"86","2019","OH",10345,7382,1344,1507,11696507
"87","2019","OK",3944,2176,523,1237,3960676
"88","2019","OR",15876,3748,1979,10142,4216116
"89","2019","PA",13199,8053,3221,1630,12798883
"90","2019","RI",1055,743,241,71,1058158
"91","2019","SC",4172,1820,620,1717,5157702
"92","2019","SD",995,681,80,234,887127
"93","2019","TN",7467,3240,1618,2598,6830325
"94","2019","TX",25848,10950,3555,11222,28986794
"95","2019","UT",2798,1971,419,408,3203383
"96","2019","VA",5783,4179,711,859,8556642
"97","2019","VT",1089,841,134,114,624046
"98","2019","WA",21577,8378,3599,9557,7614024
"99","2019","WI",4538,3067,1123,295,5824581
"100","2019","WV",1397,1023,118,248,1795263
"101","2019","WY",548,264,159,125,580116
"102","2019","Total",567715,279327,75162,211293,328329953
"103","2018","AK",2016,1248,459,309,736624
"104","2018","AL",3434,1519,865,1010,4891628
"105","2018","AR",2712,933,516,1257,3012161
"106","2018","AZ",9865,3615,2144,4066,7164228
"107","2018","CA",129972,27475,12737,89543,39437463
"108","2018","CO",10857,4158,2348,4329,5697155
"109","2018","CT",3976,2879,516,581,3574561
"110","2018","DE",1082,702,282,93,966985
"111","2018","FL",31030,12089,5419,13393,21254926
"112","2018","GA",9499,3434,2466,3599,10519389
"113","2018","HI",6530,1528,1527,3475,1423102
"114","2018","IA",2749,1481,1004,241,3149900
"115","2018","ID",2012,954,335,723,1752074
"116","2018","IL",10643,6247,2381,1942,12724685
"117","2018","IN",5258,3370,1218,579,6698481
"118","2018","KS",2216,1300,555,357,2912748
"119","2018","KY",3688,2340,480,868,4464273
"120","2018","LA",3059,1163,795,1065,4664450
"121","2018","MA",20068,16855,2148,985,6885720
"122","2018","MD",7144,3603,1700,1764,6042153
"123","2018","ME",2516,1012,1391,98,1340123
"124","2018","MI",8351,5499,1881,899,9987286
"125","2018","MN",7243,3855,2251,1121,5608762
"126","2018","MO",5883,3262,1369,1214,6125986
"127","2018","MS",1352,404,327,621,2982879
"128","2018","MT",1405,793,239,373,1061818
"129","2018","NC",9268,5289,1529,2450,10391358
"130","2018","ND",542,339,155,48,760062
"131","2018","NE",2421,1736,541,144,1925512
"132","2018","NH",1450,812,476,154,1355064
"133","2018","NJ",9398,5805,1951,1623,8891730
"134","2018","NM",2551,1368,387,796,2093754
"135","2018","NV",7544,2183,921,4239,3030725
"136","2018","NY",91897,82370,5137,4294,19544098
"137","2018","OH",10249,7234,1608,1315,11680892
"138","2018","OK",3871,2077,586,1191,3943488
"139","2018","OR",14476,3757,1786,8925,4183538
"140","2018","PA",13512,7863,3625,1744,12809107
"141","2018","RI",1101,739,311,51,1059338
"142","2018","SC",3933,1997,577,1344,5091702
"143","2018","SD",1159,707,167,285,879386
"144","2018","TN",7883,3547,1470,2855,6778180
"145","2018","TX",25310,11307,3405,10534,28624564
"146","2018","UT",2876,1946,510,420,3155153
"147","2018","VA",5975,4232,810,915,8510920
"148","2018","VT",1291,1029,180,82,624802
"149","2018","WA",22304,7652,3990,10621,7526793
"150","2018","WI",4907,3139,1319,382,5809319
"151","2018","WV",1243,870,180,183,1805953
"152","2018","WY",639,269,171,199,579054
"153","2018","Total",552830,275705,80711,194467,326838199
"154","2017","AK",1845,1017,534,294,740983
"155","2017","AL",3793,1644,978,1137,4877989
"156","2017","AR",2467,915,358,1194,3003855
"157","2017","AZ",8947,3841,1904,3166,7048088
"158","2017","CA",131532,26854,15656,88896,39337785
"159","2017","CO",10940,4135,2921,3859,5617421
"160","2017","CT",3388,2249,723,416,3575324
"161","2017","DE",994,564,372,58,957942
"162","2017","FL",32190,10732,6266,15079,20977089
"163","2017","GA",10174,3821,2830,3523,10417031
"164","2017","HI",7220,1341,2054,3800,1425763
"165","2017","IA",2756,1373,1279,104,3143734
"166","2017","ID",2037,1003,395,639,1719745
"167","2017","IL",10798,4160,4306,2257,12779893
"168","2017","IN",5438,3368,1457,569,6662068
"169","2017","KS",2287,1277,659,345,2910892
"170","2017","KY",4025,2174,1122,727,4455590
"171","2017","LA",3305,1326,967,975,4673673
"172","2017","MA",17565,14301,2196,991,6863560
"173","2017","MD",7247,3557,1877,1736,6028186
"174","2017","ME",2280,993,1092,180,1335743
